author_id,labels
740,3 5 7
741,2 5 7
742,2 3 5 7 9
744,3
745,3
752,2
753,2
754,9
755,9
756,9
757,9
759,9
760,9
762,1
764,1 5
767,3 8
768,3 8
769,3 8
770,5
773,5
774,5
775,5
777,3 8
778,3 8
782,3
785,3
787,3
788,0 1 5 6
789,1
790,1
791,1
792,7 8
793,8
797,2 3 5
798,1 2 3 5
799,2
800,2 3
801,2 3 9
802,2 3 5 7 8 9
806,3 8
807,3 8
808,3 8
813,1
818,5
819,3
820,3
821,3
823,1
824,1
825,1
826,5
828,3
829,2 3
830,3
831,3
832,2 3
833,2 3 8
834,3
835,3
836,3
837,2 5
844,9
845,9
846,9
847,3
848,3
849,3
851,5
852,3 8
853,8
854,3 8
858,5 8
861,3
863,3 5
864,9
865,2 5
866,5
867,5
869,9
871,5 9
872,3 8
873,3
874,3
887,0 5 6
889,5 6
890,2
891,1 2
892,5
895,9
896,9
897,9
898,3 8 9
899,8
902,3 8
903,8
904,3
905,3 5 7 8
906,6
907,0 1 6
908,0 1 6
909,1 6
910,1 6
911,0 1 6
912,3
914,9
917,9
928,2 5 6 9
929,2 5 9
930,9
931,2 7 9
932,2 5 6 9
933,5
935,2
936,2
941,5
943,5
944,5
945,2 7
947,2 7
948,2 7
949,2 7
950,2 5
951,2 5
952,2 3 5
953,2 5
954,2 3 5
955,2 5
958,5 7 8 9
959,1 2 5 9
960,1 5 6
963,3 8
965,3
966,2
967,2 5
968,2
969,2
970,2
973,5
976,5
980,2 3 9
981,2 3
982,3
983,3 8
984,5
985,5
986,5
988,8
989,3 8
990,3 8
991,3 8
992,3 8
994,5
995,5
996,2 5
998,5 7 9
999,5 8
1002,5
1007,2 5
1010,3
1011,3
1013,3
1014,3 8
1015,5
1016,2 5
1017,2 5
1018,3 5
1019,3
1020,7
1021,7
1022,7
1023,7
1024,7
1025,2 5 7 9
1026,2 5
1029,2 5 7 8
1030,2 5 7 8
1033,5 7 8
1034,7
1036,1 2 7
1038,0 1 6
1040,2
1041,2
1042,2 5
1043,2 5
1044,2 5
1045,0 1
1047,0 1
1048,3
1049,3
1050,3
1051,3
1053,7
1054,0 1 2 7
1055,2 7
1057,2 3
1058,2 3 8
1059,2 3 5 8
1060,2
1061,2
1062,2
1068,2 3 5 6 8
1069,0 3 5 6 7 9
1075,3
1076,3
1077,3
1078,2 5 7
1079,5 7
1080,2 5 7
1082,1 2 3 5 7
1084,2 5 7
1085,5
1087,5 7
1089,1 5
1091,3 5 8
1097,2
1098,2
1099,2 3 5 8
1100,2
1102,6
1103,6
1105,5
1106,5
1109,5
1111,0 1 5 6
1112,0 1 6 7
1113,0 1 5 6
1114,0 1 5 6
1116,3 8
1117,3 8
1119,7 8
1120,8
1121,3 8
1122,5
1124,5
1125,3
1126,3
1127,2 3 8
1128,2 5
1129,2 5
1130,2 5
1131,2 3 5
1132,2 3 5 8
1134,1
1135,0 1
1136,0 1
1137,0 1
1138,0 1 6
1139,3 5
1140,3 5 8
1145,1
1146,0 1 5
1147,8
1149,3 8
1151,2 7
1154,7
1155,7
1156,2 7
1157,1
1158,0 1 5
1159,8
1160,8
1161,8
1162,8
1163,8
1165,7 9
1166,7 9
1167,7 9
1168,9
1169,5 6 7 8 9
1171,2 6 7 9
1172,2 5 7 9
1173,7 9
1174,0 5 7 9
1176,3 8
1178,8
1179,8
1182,2 5
1189,2
1193,2 5 7 9
1195,5
1198,5 8
1199,5 8
1200,3 5 8
1201,8
1202,8
1203,8
1204,2 5 8
1205,8
1206,3
1207,3 5
1208,2 3
1209,3 8
1210,3 8
1211,3
1212,5
1213,2 5 7 8 9
1214,2 5 9
1215,2 5 9
1216,2 5
1217,2 5
1221,1
1223,5
1224,5
1225,5
1228,2
1229,2
1230,2
1232,5
1235,5
1236,2 5
1237,5
1238,0 2 3 5 6 7 9
1239,9
1240,9
1241,9
1242,9
1243,2 5
1244,2 5
1245,2 5
1246,2 3 5 8
1247,2 5
1249,1
1250,1
1251,1
1252,1
1253,3
1254,3 5
1255,3
1260,2 5
1263,5
1265,7
1266,7 8
1267,2 8
1268,2 8
1269,2 8
1270,2 8
1271,2 6
1272,6
1273,2 6
1274,2 6
1277,2 5
1280,0 1
1281,0 1
1282,0 1
1283,0 1
1284,2 5
1285,2 5
1286,2 5
1287,5
1290,3 8
1291,3
1292,3 8
1293,3
1294,3 5 8
1295,3 5 8
1296,3 8
1297,5
1298,5
1299,5
1300,5
1301,2 3
1302,3 5
1303,2 3 5
1304,2
1305,2
1306,2 5 8 9
1307,9
1308,5 9
1309,9
1310,9
1311,9
1312,8
1313,8
1314,8
1316,2 3 8
1317,0 1 3 6
1318,0 1 3
1319,0 1
1320,0 1
1321,0 1 6
1322,0 1
1323,7
1324,7
1325,7
1326,7
1327,9
1328,9
1329,2 9
1332,5 7
1333,5 7 9
1344,2 3
1345,2
1346,8
1348,3 5 8
1349,2
1350,2
1352,2 5
1353,2 5
1354,2 5
1355,2 5
1356,1 2 5 6 7 8 9
1365,2
1366,2 7
1367,2
1368,2 7
1369,2 3 5
1370,2 7
1371,3 5
1372,3 5
1373,3 5
1374,3 5
1375,2
1376,2
1377,1 2 5 6 7
1378,3 8
1379,3 8
1380,3 8
1381,2 5
1383,2
1384,2
1386,5 9
1388,2 5 9
1389,2
1390,2 5
1391,2 5
1392,2 3 5
1394,2
1395,2
1396,2
1397,2
1398,2
1400,5
1401,5
1402,5
1403,3 8
1404,3 8
1405,3 8
1407,3 8
1408,2 8
1409,2
1413,2 5
1416,2 5
1417,2
1418,2
1419,3
1420,3
1421,3
1422,1 2 5
1423,1 2 5
1424,1 2 5 7
1425,1 2 5
1427,1 2 5
1428,3 8
1429,3 8
1431,2 3 8
1432,2 3 5
1433,2 3 5 8
1434,5
1435,5
1436,5
1439,5 7
1440,8
1441,2 3 8
1442,8
1443,8
1445,3 5 8
1446,2 5
1447,2
1448,2 5
1449,3 8
1450,3 8
1451,3 5 8
1452,3 8
1454,0 1
1455,5 9
1456,5 9
1457,5 9
1458,5 9
1459,5 9
1460,3 8
1461,3 8
1462,2
1463,2
1467,5
1469,5
1470,0 1 3 6
1472,2
1473,2
1478,2 4
1479,0 5 6
1480,3
1481,3
1482,5
1484,2
1485,2
1486,2
1488,2
1490,5
1492,3 8
1493,3 8
1494,0
1495,0 1 6
1498,8
1499,5 8
1501,3
1503,3
1504,6
1505,5 6
1506,6
1507,6
1510,6
1511,6
1512,3 5 8
1513,3 8
1515,5 8
1516,3 8
1518,5
1519,0 2 5 6 9
1520,1 2 3 5 8
1524,8
1526,5 9
1528,5
1529,5
1530,5
1531,5
1532,5
1535,5 7
1536,7
1539,2
1540,2 5
1541,2 5 9
1542,2 3 5 8
1543,2 3 5 8 9
1544,2 3 5 8
1545,0 1 2 5 6
1547,2 4
1548,2 5
1549,2 5
1551,5
1553,3 8
1554,8
1555,3 8
1556,3 8
1557,3 5
1559,2 5
1560,5
1563,5 7 8
1565,2 3 5 7 8
1566,2 3 5 6 7 8 9
1567,5 7 8
1569,7
1570,5 8
1571,3 8
1572,0 1 8
1574,1 8
1575,0 1 8
1576,2
1577,2
1578,2
1579,2
1580,5
1581,5
1582,5
1583,5
1584,5 7 9
1586,5 9
1588,3 5 7 8
1589,3 5
1590,3 5 7 8
1592,0 1 6
1593,4 5
1594,4 5
1595,4 5
1596,0 3
1597,0 1
1598,0
1599,2
1600,2 5
1602,2 5
1605,3 8
1606,5
1607,5
1608,5
1609,5
1610,5
1613,2
1615,5
1616,2 5
1617,2 5
1618,2 5
1619,2 5
1621,0 1 6 7
1622,6 7
1623,0 1 2 5 6 7
1624,0 1 5 6 7
1625,0 1 5 6 7
1626,8
1627,8
1628,8
1629,8
1630,2 5
1631,2 5
1632,2 5
1633,2 5
1634,2 5
1635,2 5
1636,2 5
1637,2 5
1638,8
1639,3 8
1643,2 5
1644,5
1645,2 5
1646,9
1647,9
1648,9
1651,0 1
1657,5
1658,5
1659,5 9
1660,5 7
1661,2 5 7
1662,3 7 8
1663,3 8
1664,3 5 8
1665,3 8
1666,3 5 7 8
1667,3 5 7 8
1668,8
1669,8
1670,8
1671,0 6
1673,5
1674,5
1675,5
1676,5
1677,3 5 8
1678,5
1682,8
1684,1
1685,1
1686,1
1687,1
1688,5
1689,5
1690,5
1691,5
1692,2 3 5 8 9
1693,2 5
1694,5
1698,3 8
1699,3 5 8
1706,3
1707,2 5
1709,2
1710,0
1711,0 1
1712,0 1
1714,5
1715,5
1716,3 8
1717,8
1719,8
1720,2 5
1721,2 5
1722,2 5 8
1723,3 8
1724,5 8
1725,8
1727,9
1729,9
1730,8
1731,8
1732,8
1734,3 5
1735,3 5 8
1736,3 5 8
1737,3
1738,3
1739,3 8
1740,5
1742,5
1743,5 8
1747,5
1749,1 8
1751,0 1 6
1752,2 5
1753,2 5
1754,5
1755,5
1757,1
1760,3
1761,3
1764,2 9
1767,2
1768,2
1771,5
1772,5
1774,3
1775,2 5
1776,2 5
1777,2 5
1778,5 9
1779,2
1781,2 5
1784,5
1785,5
1786,5
1787,5
1788,2 5
1789,5
1793,5
1794,5
1795,5
1797,0 2 6 7
1798,0 2
1799,0 1 2 6 7
1800,2 5
1801,0 2
1802,0 2
1803,5
1804,5
1805,2 5
1806,2 5
1807,3 8
1808,3 5 8
1810,3 7 9
1811,3
1813,2 5
1814,2 5
1815,2 3
1816,3
1817,3
1818,2 3 5 8
1819,5
1820,2 5 7
1822,3 6 7
1823,3
1825,3 5 8
1827,2
1829,2
1830,3
1831,3
1832,3
1833,3
1834,3
1835,7
1836,7
1837,7
1838,5 7
1839,2 5 7
1840,5 7
1843,3 8
1844,2
1846,2 7
1847,2 7
1848,2
1850,7 9
1852,7
1853,5
1854,3 5
1855,2 3 5
1856,8
1857,3 8
1858,8
1859,8
1860,3 5 8
1868,6 8
1869,6 8
1873,2 5
1874,2 5
1875,2 5
1876,3 5 7
1881,5
1882,5
1883,5
1884,2 5
1885,3 5 8
1886,5
1887,0 1
1889,0 1
1890,0 1
1891,0 1 6
1892,0 1
1894,0 1 7 9
1895,0 1
1904,2 5
1905,2 5 6
1906,2 5 6
1907,2 5 7 9
1908,0 3
1909,0 1 3
1910,0 3
1911,0 2 3 5
1912,0 1 3
1913,0 1 3
1914,3 8
1915,3 8
1916,3 8
1918,2
1919,3 7 8
1920,7 8
1921,3 7 8
1922,3 7 8
1923,2 5
1926,2 5
1927,3
1928,3 5 8
1930,8
1931,3 8
1935,8
1936,8
1937,8
1938,8
1939,8
1940,8
1941,8
1942,2 5
1943,2
1944,2 5
1945,2 5
1946,2
1947,2 5
1948,8
1949,8
1950,8
1951,3 8
1952,8
1953,8
1954,3 8
1955,3 8
1956,1 3 5 8
1959,2 5
1960,5 8
1961,5 8
1963,7
1967,0 1 2 7
1969,7
1971,0 1 5 6 7
1977,5
1978,0 2
1979,2 5
1980,2 5
1981,2 5
1982,2
1983,2
1987,3 7 8
1988,3 5 7 8
1989,3 7 8
1990,7 8
1991,2 3 7 8
1992,2 3 5 7 8
1993,2 5
1994,2 5
1995,2 5 8
1996,2 5
1997,2 3 5
1998,2 5
1999,2 5 7
2000,2 3 5
2005,2
2006,5
2007,3 5
2008,5
2009,3 5
2018,2 3 8
2019,2 3
2023,2 3 8
2024,2 8
2026,2
2027,2
2028,2 5
2029,3
2030,3 5
2031,2 3 5 7 8
2032,5 7
2033,2 5 6 7
2034,2 5 7
2035,2 3 5 7
2036,2
2038,2
2040,1 6
2043,5
2044,5
2045,5
2049,2 5
2050,3 8
2051,5
2053,5
2054,5
2055,5
2056,5 8
2058,2 3
2059,2 3
2060,3
2061,3
2062,2 3
2063,3 8
2064,5
2074,0 1 6
2075,5
2076,5
2077,3 5
2078,3 5 8
2079,5
2080,3 5
2081,3 8
2082,3 8
2083,3 8
2084,8
2085,9
2086,9
2087,9
2088,9
2089,2
2093,5
2095,5
2096,5
2098,2 5
2099,9
2100,7 9
2101,7 9
2102,1 6 7 9
2103,2
2104,2
2106,2
2107,3
2108,3
2109,3 8
2111,1 3 5 7
2112,2 3 5 7 8
2134,0
2135,0 1
2136,3 6 8
2137,3
2138,3
2139,3
2141,3
2144,2 3 7 8
2145,2 3 5
2147,2 5
2148,2 5
2149,2
2151,3 5
2152,5 8 9
2153,2 3 5 8 9
2154,2 3 5 9
2155,2 9
2156,2
2163,5
2164,2 5
2166,3 5
2167,2 5
2168,3 5
2169,3 5
2171,3 5
2172,5
2174,3
2175,3
2176,3 5
2177,2
2178,2
2179,2 5
2180,8
2181,8
2182,8
2184,3 8
2185,3 8
2186,3 5 8
2187,3 5
2189,3 5
2190,3 5
2193,2 7
2195,3 5 8
2196,8
2197,3 5 8
2198,5 8
2199,5 8
2200,5 8
2201,5 8
2202,2
2203,2
2206,3 8
2207,3 8
2208,8
2210,8
2211,8
2213,8
2214,3 8
2215,3 8
2216,3 8
2218,0 1
2220,6
2222,2 9
2223,9
2224,3 9
2226,5 7
2227,5 7
2228,5
2229,2 5
2230,0 2 5
2231,5
2233,1
2235,3
2237,9
2238,9
2239,5
2240,5
2242,3
2243,3 5 8
2244,3
2245,3 8
2246,3 8
2247,3
2249,3 5 8
2250,3 5
2251,1
2255,1
2256,1
2257,1
2259,2 5 8
2260,2 5 8
2262,3 8
2263,3 8
2264,3 8
2278,8
2279,8
2280,5
2282,0 6
2284,2 6
2291,2 3 5
2292,2 5
2293,2 3 5
2296,1
2297,2 5
2298,2 5
2300,5
2301,5
2309,3 8
2310,3 8
2311,3
2312,3
2313,3
2314,3
2315,3 5 8
2316,3
2317,3 5 7 8
2318,3
2320,3
2321,3
2322,3 8
2323,8
2324,5 8
2325,3 8
2326,0 1 6
2327,0 1 6
2328,0 1 6
2332,3
2333,3 7
2334,3 7
2335,3
2337,1 2
2338,1 2 6
2340,5 7
2341,2 5 7 8
2343,0 2 5
2344,3
2345,3 8
2346,3 8
2347,9
2348,9
2349,9
2350,3
2351,3
2353,3 8
2354,3 5
2355,3 8
2357,8
2359,2 5
2360,2 5
2361,3 8
2362,3 8
2363,2 5
2364,8
2366,8
2368,8
2369,3 8
2370,2 5
2372,2 5
2374,2 5
2376,3 5
2377,5
2378,5
2379,5
2380,5
2381,3 5
2391,1 7
2396,1 5
2402,0 2 8
2403,0 2 5
2405,5 8
2406,5 8
2407,5 8
2408,2 5 7 8 9
2409,8
2413,5
2414,5
2415,5
2416,5
2417,5
2423,2 5
2425,8
2426,8
2428,0 1
2429,0 1
2434,0
2435,0 1
2436,3
2437,3
2438,6
2439,6
2440,5 9
2447,5 7
2454,2 5 7
2457,3
2458,3 8
2459,3 8
2460,2 3 5 8
2461,0 5 7 8
2465,5 6
2468,2 5 6 9
2469,0 6
2470,1 5 6
2471,3
2472,3 5
2473,3 5 7
2474,1 2 5 7
2476,2
2477,2 5
2478,2
2479,2
2480,2
2481,2
2482,2
2483,0 6
2484,0 1 6
2485,0 1 6 7
2486,0 1 6
2487,0 5
2488,0 1 6
2489,5
2490,5
2491,5
2492,5
2494,3 5
2497,3
2498,3 7
2499,1 3 5 7
2500,3
2501,3
2502,7
2503,7
2504,7
2505,2 3 5 7
2506,2 3 5 7
2507,8
2509,3 8
2510,8
2511,8
2512,3 8
2513,3 8
2514,3 8
2515,3 8
2516,2 5
2517,2 5
2518,2 5
2519,2 5
2520,1 6
2522,6
2523,6
2524,2 7
2525,7
2526,3 5
2527,2 3 5
2528,3 5
2529,2 3 5 7
2531,1 2
2532,3 5
2534,7
2536,7
2537,7
2539,7
2541,5
2542,5
2544,9
2547,3 5
2548,3
2549,3
2552,3 8
2553,3 8
2557,2
2558,2
2559,2
2560,5
2561,2 5
2562,2 5
2563,2 5 8
2565,5
2567,5 8
2568,2
2570,2
2571,2
2572,2
2573,8
2574,8
2575,8
2576,3 8
2577,3 8
2578,3 8
2579,3 8
2582,9
2584,2 3 5 6 7
2585,3 5 7
2586,7
2587,3 5 7 8
2588,2 3 5 7
2589,2 3 5 7
2591,0 2 5
2592,0 2 5 6
2593,0 1 6
2598,0 2 5
2599,2 5
2600,5 6
2601,6
2602,5 6 7
2603,2 6 7
2604,0 1 5 6
2606,0 5 6
2607,0 9
2608,0 1 6
2613,5
2614,2 5
2615,5
2617,3
2618,2
2620,2
2627,2 5
2628,5
2630,2 5
2637,2 5
2638,2 5
2639,2 5
2640,2
2641,2
2642,2
2644,2 3 5 7
2645,2 5 7
2646,5
2647,2 3 7 8
2648,5
2649,2 5
2650,3 5
2654,5 8
2655,3
2656,3
2657,3
2658,6 7
2659,6 7
2660,6 7
2661,6 7
2662,3 8
2663,3 8
2664,9
2665,9
2666,9
2668,6
2672,6
2673,5 8
2674,5 8
2675,8
2676,5 8
2677,5 7 8
2678,5 7 8
2679,5 7 8
2680,1 3 5
2681,3
2682,3 5 7
2683,3 5
2685,5 8
2686,5 7 8
2687,5 8
2688,2 5
2690,2 5
2691,2 5
2693,2 5
2694,2 5
2695,2 5
2696,2
2697,5
2698,5
2701,2 5
2702,5
2703,5
2704,5
2705,2 5
2706,2 5 8
2707,2 5
2708,2 5
2709,2 3 4 5
2710,1
2711,1
2712,5
2713,5
2714,5
2715,9
2716,9
2717,5
2718,5
2719,2 5
2721,3 8
2722,8
2723,8
2724,8
2726,3 5
2727,0
2728,0
2729,3 8
2730,3 5 8
2731,3 5 8
2733,2
2734,2 5
2735,5
2736,5
2737,5
2738,5
2739,5
2740,5
2741,2 5
2742,2 3 5
2743,2 3 5 8
2744,2 5
2745,2 5
2747,2 5
2749,2
2750,2 5
2751,2
2752,2 5
2753,2 5
2755,2 5
2756,0 2 5
2758,5
2760,5
2763,8
2764,8
2765,3 5 7
2774,2 5
2778,2
2779,2
2782,3 8
2783,3 8
2784,3 8
2787,3 9
2795,3 5
2796,0 1 6
2797,1 2 6
2798,2 3 5
2799,3 8
2802,5
2803,5
2804,5
2805,5
2806,2 5
2807,2 3 9
2808,3 9
2809,2 3
2810,3 5
2811,2 5
2812,2 3
2813,2 3
2814,2 3 5
2816,5 8
2817,8
2818,8
2821,5
2822,5
2823,2 5
2824,5
2825,2 5
2826,3 5 8
2834,1 5
2839,5
2840,1 3 5 8
2841,5
2842,5 7
2843,9
2845,2 9
2846,2 5
2847,2 5
2848,2 5
2849,2 5
2850,9
2851,9
2852,9
2853,9
2854,9
2855,9
2863,5 8
2864,3 8
2867,2
2868,2 5
2869,3 5 7 8
2871,2 5
2873,5
2875,0
2876,0
2877,0
2879,3 8
2881,3
2882,3 8
2884,3 8
2885,2
2886,2 5
2887,5
2888,5
2889,5
2890,5 8
2891,5
2894,3
2895,5
2896,5
2897,0 9
2898,0 7 9
2901,1
2903,6
2906,5
2907,5
2908,5
2909,5
2914,5 7
2917,5 7
2918,0 7
2921,8
2922,8
2923,8
2924,3 8
2927,3 8
2928,3 8
2929,3 8
2934,1
2935,1
2937,5
2938,5
2939,5
2940,1 2 5 6 7 9
2943,5 7
2950,5
2951,0 6
2952,0 6
2954,0 1 6 7
2958,5
2959,5
2960,3 8
2961,3
2962,3 8
2964,5 8
2970,3
2971,3
2972,3
2975,5 7 9
2976,5 7
2977,2
2978,2
2979,2
2980,2 5
2981,2 3 5
2983,2 4 5 8
2984,3 8
2985,8
2988,5 7
2989,5 7
2990,3 5 7
2991,5 7 9
2992,5
2993,5
2995,2
2997,2
2998,0 2
2999,1
3001,1
3002,1 3
3003,1 6
3004,7
3005,5 7
3007,3
3008,3
3009,3
3014,3
3015,3
3016,5
3017,5 9
3018,2 8
3019,2
3020,2 8
3021,2
3023,5
3024,5
3027,0 1
3028,0 1
3030,0 1
3031,0 1
3032,0 1 6
3034,0 1
3035,3 5
3036,3 5
3038,0 1 6
3039,5
3040,5
3042,5
3044,5
3045,3 5 8
3047,3 5
3048,0 1
3049,0 1
3050,0 1
3051,0 1
3052,0 1
3053,0 1
3054,2 8
3055,2 9
3056,2 5 7
3057,5
3058,3 5
3060,4
3061,3 8
3062,3 8
3063,1 3 5 8
3064,3 5 8 9
3067,8
3069,3 5 8
3070,3 5 8
3071,2 5
3072,2 5 7
3076,7
3077,1 2 7
3078,7
3079,7
3080,7 8
3081,5
3083,5
3084,5 8
3085,5
3086,1 2 5 6 7
3087,1 2
3091,1 2
3094,7
3097,2 5 6 7
3098,2
3101,0 1
3102,0 1
3103,8
3104,8
3105,7
3106,2 7
3108,5
3110,5
3114,5
3115,2 5 8
3116,5
3117,5
3119,5 7
3120,1 2 7 8
3123,2
3124,2
3126,5 7 9
3127,5 9
3128,9
3129,9
3133,1 5
3134,2 4
3136,2 4
3137,2 4
3138,3
3139,3
3140,8
3141,8
3142,8
3144,2 6
3145,1 6
3148,6
3149,5
3151,5
3152,5 7
3153,5 7
3154,5 7
3155,0 1 2 6
3156,0 1 2 6 7 9
3157,0 5 7
3158,5 6 7
3159,5 6 7
3161,2 5 6 7
3165,0 1
3170,0 6
3171,0 6
3172,1
3173,1
3174,1
3175,1
3176,1
3178,5
3179,5
3183,5
3184,1 2 5 6
3185,2 5
3186,5
3187,5
3188,5
3189,8
3190,8
3191,8
3192,2 5
3193,2 5
3194,2 5
3200,2 3 7
3201,2 3 7
3205,5
3213,3 5 7
3214,3 5 8
3215,3 5
3218,3 8
3219,3 8
3221,5
3222,2 5
3223,2 3 5
3224,3 8
3225,3
3226,3
3228,3
3234,2 8
3238,5
3239,5
3242,1
3244,1
3251,2
3252,2
3254,2 5 7
3257,8
3258,8
3259,5 8
3260,1 6
3261,1 6
3262,5 6 7
3263,9
3264,9
3265,9
3266,9
3267,2 5
3268,2 5
3270,7
3272,7
3273,7
3274,7
3275,5
3276,5
3279,5 8
3280,2 3 5 8
3285,5 7
3286,2 5
3288,1 6
3290,6
3292,6
3293,7 8
3294,3 7
3295,7 8
3296,3 7 8
3297,0 6
3298,2 7 8
